День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
Итого,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,22,2,0,0.00,,9.09,0.00,16.91,11.83,76.88,1.41,1.00,0.00,2.00
18.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,перевозка лодок катеров,Широкие запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Аренда катера с капитаном,"Яхты и катера - причал в Сириусе, Парусная 1. Купание в открытом море.",https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Десктопы,Не определён,Wi-Fi,Женский,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.30,0.00,30.06,2.00,-,-,-
19.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,аренда яхты,Широкие запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,Прокат катера с капитаном. Выход из порта Сириус. Звонок и мессенджер в карточке.,https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Десктопы,Не определён,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-,-,-
19.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,морепродукты в сириусе,Широкие запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,"Катера и яхты в Сириусе. Капитан, Имеретинский порт. Бронь +7 918 3044000",https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.30,0.00,30.06,2.00,-,-,-
19.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,морская прогулка адлер цена,Широкие запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,Прокат катера с капитаном. Выход из порта Сириус. Звонок и мессенджер в карточке.,https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-,-,-
20.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,где в сириусе покататься на катере,Целевые запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,"Яхты и катера - причал в Сириусе, Парусная 1. Купание в открытом море.",https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,1.00,100.00,100.00,1.00,1.00,0.00,2.00
20.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,ночные клубы сириус,Целевые запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,Прокат катера с капитаном. Выход из порта Сириус. Звонок и мессенджер в карточке.,https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-,-,-
20.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,прогулки на катере адлер,Целевые запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,Прокат катера с капитаном. Выход из порта Сириус. Звонок и мессенджер в карточке.,https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,1.00,-,-,-
20.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,прокат катера в сириусе,Целевые запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,Прокат катера с капитаном. Выход из порта Сириус. Звонок и мессенджер в карточке.,https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.30,0.00,30.06,2.00,-,-,-
20.08.2026,Яхты Сочи,5789218554,Автотаргетинг,,-,0,-,0,сириус где купить торт,Широкие запросы,Запросы без упоминания брендов,-,,1918842667096226045,Активные,Комбинаторное,Яхты и катера в Сириусе,"Катера и яхты в Сириусе. Капитан, Имеретинский порт. Бронь +7 918 3044000",https://boat-sochi.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_galereya_uslug_boatsochi&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Список организаций,Не определено,Смартфоны,Android,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,2,0,0,-,-,0.00,-,0.41,0.00,20.50,3.00,-,-,-
