День,Название группы,№ Группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Заголовок,Статус объявления,Тип объявления,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Тип площадки,Вид размещения,Тематика телеграм-канала,Тип устройства,Тип операционной системы,Тип связи,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,золотая рыбка рыбалка сочи,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Рыбалка в Сириусе с катамарана. 2800 ₽, 3 часа в море, слоты 07:30/10:30/13:30/16:30",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,35-44 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,куда сходить на рыбалку в сочи,Широкие запросы,Запросы без упоминания брендов,Пословное,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,0.73,136.85,73.07,4.00,4.00,0.00,1.00
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,рыбалка на реке мзымта,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,45-54 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.42,0.00,41.63,6.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Фраза,рыбалка сочи -морск -море -морской -катамаран -групповой -сириус,-,0,-,0,сочи организация деловой рыбалки,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,3 часа рыбалки в море - слоты каждый день,Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Видео,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Мужской,Старше 55,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Групповая рыбалка - снасти включены - Сириус,Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/4823983/LX6Y0kQl79NNcdZeRJSryQ,web рыбалка.jpg,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,2,0,0,-,-,0.00,-,2.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,1.00,100.00,100.00,-,-,100.00,1.00
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Текстово-графический,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Старше 55,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,,Не определено,-,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},http://direct.yandex.ru/images/direct/5235951/RTM9BgJLvGk-x5J_zvHIzw,skat_popaj_edit_2026-08-17.png,1164155890,https://avatars.mds.yandex.net/get-media-adv-screenshooter/20985094/f1db55d1-3a13-4fcf-b557-6ddb04c28595/orig,Видео,Оригинальный,,,,Сети,Прочее,Не определено,Смартфоны,Android,Wi-Fi,Женский,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,1.00,0.00,100.00,-,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,инструктор по рыбной ловле,Целевые запросы,Запросы без упоминания брендов,-,,1918830392081206022,Групповая рыбалка в Сириусе - до 8 человек,Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,9.00,3.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,лодку на прокат,Целевые запросы,Запросы без упоминания брендов,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,9.00,3.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,морская рыбалка сириус,Целевые запросы,Запросы без упоминания брендов,-,,1918830392081206022,Заголовок из контента поискового сниппета или настроек объявления,Архивные,Комбинаторное,Текст из контента поискового сниппета или настроек объявления,https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Динамические места на поиске,Не определено,Смартфоны,Android,Wi-Fi,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.89,0.00,88.86,1.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,рыбалка на корабле,Широкие запросы,Запросы без упоминания брендов,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Рыбалка в Сириусе с катамарана. 2800 ₽, 3 часа в море, слоты 07:30/10:30/13:30/16:30",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Десктопы,Не определён,Wi-Fi,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.50,0.00,50.30,3.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,сочи организация деловой рыбалки,Широкие запросы,Запросы без упоминания брендов,-,,1918830392081206022,Групповая рыбалка в Сочи - 2800 ₽ / чел.,Архивные,Комбинаторное,"Рыбалка в Сириусе с катамарана. 2800 ₽, 3 часа в море, слоты 07:30/10:30/13:30/16:30",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Десктопы,Не определён,Wi-Fi,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.05,0.00,5.19,8.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,сочи рыбалка на большом катамаране,Широкие запросы,Запросы без упоминания брендов,-,,1918830392081206022,Морская рыбалка - катамаран "Моряк Попай",Архивные,Комбинаторное,"Групповая морская рыбалка на катамаране ""Моряк Попай"", 2800 ₽/чел. и 3 часа в море",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0,-,-,0.00,-,0.84,0.00,83.81,6.00,-,-,-
24.08.2026,G1-G3  - групповая рыбалка Сочи,5788984305,Автотаргетинг,,-,0,-,0,экскурсии имеретинка,Широкие запросы,Запросы без упоминания брендов,-,,1918830392081206022,"Рыбалка в Сириусе с катамарана - Имеретинка, линия 2",Архивные,Комбинаторное,"Не бронируйте весь катер - место в группе 2800 ₽, катамаран ""Моряк Попай"", до 8 чел.",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_popaj&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Прочее,Не определено,Смартфоны,iOS,Wi-Fi,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0,-,-,0.00,-,0.09,0.00,8.50,5.00,-,-,-
24.08.2026,G10 - рыбаки,5791489951,Фраза,морская рыбалка сочи -большой -цена -отзыв -адлер -снасть,-,0,-,0,кудепста морская рыбалка,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1919233043117772392,"Морская рыбалка в Сочи, осенний сезон - 2800 ₽ / чел.",Активные,Комбинаторное,На барабульку и ставриду - групповая морская рыбалка на катамаране "Моряк Попай",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_G10&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,Android,Wi-Fi,Женский,35-44 года,2–5%,Не определено,0.00,1,0,0,-,-,0.00,-,0.54,0.00,53.60,4.00,-,-,-
24.08.2026,G10 - рыбаки,5791489951,Фраза,морская рыбалка сочи -большой -цена -отзыв -адлер -снасть,-,0,-,0,морская рыбалка хоста,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1919233043117772392,"Морская рыбалка в Сочи, осенний сезон - 2800 ₽ / чел.",Активные,Комбинаторное,На барабульку и ставриду - групповая морская рыбалка на катамаране "Моряк Попай",https://boat-sochi.ru/gruppovaja_ribalka?utm_source=yandex&utm_medium=cpc&utm_campaign=epk_gruppovaya_rybalka_G10&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Оригинальный,,,,Поиск,Спецразмещение,Не определено,Смартфоны,iOS,Wi-Fi,Женский,35-44 года,Остальные,Не определено,0.00,1,1,0,0.00,-,100.00,0.00,0.59,169.14,59.12,3.00,3.00,0.00,1.00
